[ 2016-02-28 01:54:19 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 01:55:42 / pinkman02    /  39475 /     95 ]: task end: 'initial search for vpmovsxwd_xmm_xmm with budget=9669522' with result 'Initial search timeout'
[ 2016-02-28 01:55:43 / pinkman02    /  39475 /    169 ]: task end: 'initial search for vpvmpgtq_ymm_ymm_ymm with budget=42099680' with result 'Initial search timeout'
[ 2016-02-28 01:56:27 / pinkman02    /  39475 /    111 ]: verification for andq_r64_r64: verified
[ 2016-02-28 01:56:39 / pinkman02    /  39475 /    111 ]: verification for andq_r64_r64: counterexample
[ 2016-02-28 01:56:42 / pinkman02    /  39475 /    111 ]: verification for andq_r64_r64: verified
[ 2016-02-28 01:56:46 / pinkman02    /  39475 /    111 ]: verification for andq_r64_r64: verified
[ 2016-02-28 01:56:49 / pinkman02    /  39475 /    111 ]: verification for andq_r64_r64: verified
[ 2016-02-28 01:56:49 / pinkman02    /  39475 /    111 ]: task end: 'secondary search for andq_r64_r64 with budget=10000000' with result 'Secondary search success: Found counterexample that removed 0 programs and kept 3'
[ 2016-02-28 01:57:00 / pinkman02    /  39475 /    110 ]: task end: 'initial search for imulb_r8 with budget=17299534' with result 'Initial search timeout'
[ 2016-02-28 01:57:20 / pinkman02    /  39475 /     92 ]: task end: 'initial search for pshufb_xmm_xmm with budget=13554139' with result 'Initial search timeout'
[ 2016-02-28 01:58:17 / pinkman02    /  39475 /    166 ]: task end: 'secondary search for pmovsxbd_xmm_xmm with budget=10000000' with result 'Secondary search timeout'
[ 2016-02-28 01:58:52 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:58:58 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:58:58 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 02:00:03 / pinkman02    /  39475 /    163 ]: task end: 'initial search for vpackuswb_xmm_xmm_xmm with budget=29694268' with result 'Initial search timeout'
[ 2016-02-28 02:00:10 / pinkman02    /  39475 /    216 ]: task end: 'initial search for psadbw_xmm_xmm with budget=47302357' with result 'Initial search timeout'
[ 2016-02-28 02:00:15 / pinkman02    /  39475 /    174 ]: verification for maxpd_xmm_xmm: verified
[ 2016-02-28 02:00:21 / pinkman02    /  39475 /    174 ]: verification for maxpd_xmm_xmm: verified
[ 2016-02-28 02:00:21 / pinkman02    /  39475 /    174 ]: task end: 'secondary search for maxpd_xmm_xmm with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 02:01:11 / pinkman02    /  39475 /     87 ]: task end: 'initial search for vfnmsub231ss_xmm_xmm_xmm with budget=22078007' with result 'Initial search timeout'
[ 2016-02-28 02:02:01 / pinkman02    /  39475 /    167 ]: task end: 'initial search for vpsubusb_ymm_ymm_ymm with budget=9063103' with result 'Initial search timeout'
[ 2016-02-28 02:02:59 / pinkman02    /  39475 /    110 ]: task end: 'initial search for roll_r32_cl with budget=4304536' with result 'Initial search timeout'
[ 2016-02-28 02:03:22 / pinkman02    /  39475 /    167 ]: task end: 'initial search for rcrw_r16_one with budget=938723' with result 'Initial search timeout'
[ 2016-02-28 02:03:50 / pinkman02    /  39475 /    213 ]: task end: 'initial search for vpmuludq_xmm_xmm_xmm with budget=24884367' with result 'Initial search timeout'
[ 2016-02-28 02:07:23 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 02:07:30 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 02:07:30 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 02:08:45 / pinkman02    /  39475 /    164 ]: task end: 'initial search for vpackuswb_ymm_ymm_ymm with budget=9346137' with result 'Initial search timeout'
[ 2016-02-28 02:08:52 / pinkman02    /  39475 /     87 ]: task end: 'initial search for vfmaddsub213pd_ymm_ymm_ymm with budget=4108510' with result 'Initial search timeout'
[ 2016-02-28 02:08:57 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: counterexample
[ 2016-02-28 02:08:57 / pinkman02    /  39475 /    215 ]: search bug for cmovaq_r64_r64
[ 2016-02-28 02:08:57 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search err'
[ 2016-02-28 02:09:10 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 02:09:11 / pinkman02    /  39475 /     90 ]: task end: 'initial search for vpmaddubsw_ymm_ymm_ymm with budget=13194009' with result 'Initial search timeout'
[ 2016-02-28 02:09:17 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 02:09:17 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 02:10:08 / pinkman02    /  39475 /     92 ]: task end: 'initial search for vfmsubadd231ps_ymm_ymm_ymm with budget=6529470' with result 'Initial search timeout'
[ 2016-02-28 02:10:21 / pinkman02    /  39475 /    213 ]: task end: 'initial search for cvtps2dq_xmm_xmm with budget=3570957' with result 'Initial search timeout'
[ 2016-02-28 02:11:59 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 02:12:05 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 02:12:05 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 02:13:00 / pinkman02    /  39475 /    192 ]: task end: 'initial search for rolb_r8_cl with budget=24405643' with result 'Initial search timeout'
[ 2016-02-28 02:13:23 / pinkman02    /  39475 /    110 ]: task end: 'initial search for rcrl_r32_cl with budget=7384225' with result 'Initial search timeout'
[ 2016-02-28 02:13:35 / pinkman02    /  39475 /     87 ]: task end: 'initial search for imull_r32_r32 with budget=3185320' with result 'Initial search timeout'
[ 2016-02-28 02:13:38 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 02:13:47 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 02:13:47 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 02:15:01 / pinkman02    /  39475 /    115 ]: task end: 'initial search for rolw_r16_cl with budget=61077570' with result 'Initial search timeout'
[ 2016-02-28 02:16:34 / pinkman02    /  39475 /    169 ]: task end: 'initial search for cvttsd2siq_r64_xmm with budget=14010109' with result 'Initial search timeout'
[ 2016-02-28 02:17:05 / pinkman02    /  39475 /    115 ]: task end: 'initial search for vpsllw_ymm_ymm_xmm with budget=1093512' with result 'Initial search timeout'
equivalence class size and score for andq_r64_r64: 2 / (0, 0, 211), 1 / (2, 0, 185)
[ 2016-02-28 02:17:16 / pinkman02    /  39475 /    111 ]: task end: 'secondary search for andq_r64_r64 with budget=10000000' with result 'Secondary search timeout'
[ 2016-02-28 02:18:47 / pinkman02    /  39475 /     90 ]: task end: 'initial search for vfnmsub231pd_xmm_xmm_xmm with budget=5024772' with result 'Initial search timeout'
